100814A| 4.5 |  496| 24| 13. | 1. | 5.3|0.4
100814A| 7.9 |  613| 23| 10.4| 0.4| 4.3|0.2
990510 | 4.86|  177|   |  9.2|    | 3.5|   
991208 |15.  | 3100|   |  5.4|    | 3.2|   
991216 | 4.86|  126|   | 17.4|    | 8.6|   
991216 |15.  | 1100|   |  1.3|    | 0.6|   
000131 | 8.7 |  207|   | 10.8|    | 2.0|   
000210 | 8.46|   93|   |  8.6|    | 4.6|   
000301C| 4.86|  240|   |  4.3|    | 1.4|   
000301C|15.  |  660|   |  3.6|    | 1.2|   
000301C|22.5 |  884|   |  4.3|    | 1.4|   
000418 |15.  | 1350|   | 12.3|    | 5.8|   
000418 |22.5 | 1100|   | 14.6|    | 6.9|   
000911 | 4.86|   71|   | 11.1|    | 5.4|   
000926 |15.  |  820|   |  4.7|    | 1.5|   
000926 |22.5 | 1415|   |  7.2|    | 2.4|   
001007 | 8.46|  222|   |  7.1|    |    |   
010222 | 4.86|  144|   |  2.3|    | 0.9|   
010921 |22.5 |  330|   | 25.9|    |17.9|   
010921 | 8.46|  229|   | 27. |    |18.6|   
011121 | 4.8 |  510|   |  6.9|    | 5.1|   
020305 | 8.46|   76|   | 22.9|    |    |   
020903 | 1.43|  294|   | 91. |    |72.8|   
020903 | 8.46| 1058|   | 23.8|    |19.0|   
021206 | 8.46|  137|   | 68.6|    |    |   
030115A| 4.9 |   89|   |  6. |    | 1.7|   
030115A| 8.46|   83|   |  7.3|    | 2.1|   
030226 |22.5 |  328|   | 74. |    |24.8|   
030227 | 8.46|   64|   |  6.6|    |    |   
030323 |22.5 |  530|   |  3.5|    | 0.8|   
030418 | 8.46|   69|   | 27.7|    |    |   
030723 | 4.86|  217|   | 77.9|    |    |   
031203 |22.5 |  483|   | 13.5|    |12.2|   
050401 | 8.46|  122|   |  5.7|    | 1.5|   
050525A| 8.46|  164|   | 13.5|    | 8.4|   
050603 | 4.86|  196|   |  6.5|    | 1.7|   
050730 | 8.46|  212|   |  9.1|    | 1.8|   
050824 | 8.46|  152|   |  7.4|    | 4.0|   
051022 | 4.86|  209|   | 57. |    |31.5|   
060116 | 8.46|  363|   | 28. |    |    |   
060218 | 1.43|  198|   |  4.9|    | 4.7|   
060218 |22.5 |  250|   |  3. |    | 2.9|   
060418 | 8.46|  216|   |  4.3|    | 1.7|   
070125 | 4.86|  308|   | 27.9|    |11.0|   
071003 | 4.86|  224|   |  3.8|    | 1.5|   
071020 | 8.46|  141|   |  3.2|    | 1.0|   
081203B| 8.46|  162|   |  7. |    |    |   
081221 | 4.86|  142|   | 14.4|    |    |   
090313 | 4.86|  361|   |  7.9|    | 1.8|   
100413A| 8.46|   80|   |  8.8|    |    |   
100414A| 4.86|  420|   | 38. |    |16.0|   
100901A| 4.5 |  331|   |  4.9|    | 2.0|   
100901A| 7.9 |  440|   |  4.9|    | 2.0|   
100901A|33.6 |  378|   | 11.9|    | 4.4|   
100906A| 8.46|  215|   |  5. |    | 1.8|   
